ID,Hora de início,Hora de conclusão,Email,Nome,Hora da última modificação,Data de nascimento,Com qual gênero você se identifica?,"Em qual ano do ensino médio você está?
","Você pretende fazer um curso universitário no próximo ano ou quando terminar o 3º ano?
","Em qual universidade?
",Qual o turno de sua preferência?,Tecnologia e inovação,Resolver desafios lógicos e matemáticos,Matemática,Português,"Qual a sua matéria preferida na escola? (resposta aberta)
","Já teve contato com programação ou desenvolvimento de jogos/aplicações?
",Você gosta de jogos eletrônicos? ,Videogame,Computador,Internet residencial (Wi-Fi),Celular,Internet no celular,As explicações dos estudantes foram claras e fáceis de entender.,As aplicações apresentadas despertaram meu interesse.,O uso das tecnologias nas oficinas foi adequado e interessante,A atividade ajudou-me a compreender melhor o que é o curso de Ciência da Computação,"De modo geral, a experiência do evento foi positiva."
22,10/8/25 10:25:41,10/8/25 10:27:11,anonymous,,,4/27/2008,Homem,3º ano,Sim,Privada,Noite,Muito interesse,Algum interesse,Algum interesse,Algum interesse,Eu não sei... Kkkk,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo parcialmente,Concordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Concordo parcialmente
23,10/8/25 10:24:50,10/8/25 10:27:37,anonymous,,,7/4/2025,Mulher,3º ano,Sim,Pública,Manhã,Muito interesse,Pouco interesse,Pouco interesse,Nenhum interesse,História ,"Sim, já pratiquei",Não,Não,Sim,Não,Não,Não,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente
24,10/8/25 10:25:31,10/8/25 10:27:41,anonymous,,,4/25/2008,Mulher,3º ano,Sim,Privada,Manhã,Muito interesse,Pouco interesse,Pouco interesse,Algum interesse,Português ,"Já vi, mas nunca pratiquei",Sim,Não,Não,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
25,10/8/25 10:24:54,10/8/25 10:28:02,anonymous,,,7/4/2005,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Pouco interesse,Algum interesse,Muito interesse,História ,Ainda não,Sim,Não,Não,Sim,Sim,Não,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
26,10/8/25 10:26:14,10/8/25 10:28:04,anonymous,,,10/8/2025,Não binário,3º ano,Sim,Privada,Manhã,Pouco interesse,Nenhum interesse,Nenhum interesse,Algum interesse,biologia,"Já vi, mas nunca pratiquei",Sim,Não,Não,Não,Sim,Não,Concordo totalmente,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Concordo totalmente
27,10/8/25 10:25:17,10/8/25 10:28:05,anonymous,,,1/25/2008,Mulher,3º ano,Sim,Pública,Manhã,Muito interesse,Algum interesse,Pouco interesse,Muito interesse,História ,"Sim, já pratiquei",Sim,Não,Não,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
28,10/8/25 10:25:08,10/8/25 10:28:06,anonymous,,,11/8/2007,Mulher,3º ano,Sim,Pública,Manhã,Muito interesse,Algum interesse,Algum interesse,Muito interesse,Português ,"Já vi, mas nunca pratiquei",Sim,Sim,Não,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
29,10/8/25 10:24:50,10/8/25 10:28:13,anonymous,,,3/20/2025,Mulher,3º ano,Sim,Pública,Manhã,Muito interesse,Muito interesse,Algum interesse,Algum interesse,História ,"Já vi, mas nunca pratiquei",Sim,Não,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
30,10/8/25 10:25:11,10/8/25 10:28:20,anonymous,,,11/20/2007,Homem,3º ano,Sim,Privada,Noite,Muito interesse,Nenhum interesse,Nenhum interesse,Nenhum interesse,"Matemática, geografia ","Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
31,10/8/25 10:24:55,10/8/25 10:28:52,anonymous,,,7/28/2006,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Pouco interesse,Nenhum interesse,Algum interesse,"Filosofia, Sociologia, Biologia, Inglês e Português.",Ainda não,Sim,Não,Não,Sim,Sim,Não,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
32,10/8/25 10:25:36,10/8/25 10:29:51,anonymous,,,6/27/2007,Homem,3º ano,Sim,Pública,Noite,Algum interesse,Pouco interesse,Pouco interesse,Algum interesse,inglês ,"Já vi, mas nunca pratiquei",Sim,Não,Não,Sim,Sim,Sim,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente
33,10/8/25 10:27:52,10/8/25 10:30:01,anonymous,,,5/6/2007,Mulher,3º ano,Sim,Privada,Manhã,Muito interesse,Nenhum interesse,Nenhum interesse,Muito interesse,Português ,"Sim, já pratiquei",Sim,Não,Não,Não,Sim,Não,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
34,10/8/25 10:17:49,10/8/25 10:36:41,anonymous,,,4/23/2008,Homem,3º ano,Sim,Privada,Noite,Muito interesse,Algum interesse,Nenhum interesse,Nenhum interesse,Informática,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
35,10/8/25 10:37:07,10/8/25 10:38:03,anonymous,,,6/18/2009,Homem,2º ano,Sim,Pública,Manhã,Muito interesse,Algum interesse,Algum interesse,Algum interesse,Matemática ,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
36,10/8/25 10:37:18,10/8/25 10:38:22,anonymous,,,1/24/2008,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Nenhum interesse,Nenhum interesse,Algum interesse,Filosofia ,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
37,10/8/25 10:37:07,10/8/25 10:38:24,anonymous,,,2/20/2009,Homem,2º ano,Sim,Privada,Noite,Muito interesse,Algum interesse,Algum interesse,Algum interesse,Educação física ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente
38,10/8/25 10:37:02,10/8/25 10:38:28,anonymous,,,12/10/2008,Homem,2º ano,Sim,Privada,Manhã,Algum interesse,Algum interesse,Algum interesse,Algum interesse,Matemática ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo parcialmente,Nem concordo nem discordo,Nem concordo nem discordo,Concordo parcialmente,Concordo totalmente
39,10/8/25 10:37:10,10/8/25 10:38:31,anonymous,,,7/5/2008,Homem,2º ano,Sim,Pública,Noite,Muito interesse,Muito interesse,Muito interesse,Nenhum interesse,Matemática ,"Já vi, mas nunca pratiquei",Sim,Não,Não,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
40,10/8/25 10:37:23,10/8/25 10:38:37,anonymous,,,5/29/2009,Homem,2º ano,Sim,Pública,Manhã,Algum interesse,Muito interesse,Muito interesse,Nenhum interesse,Quimica ,"Já vi, mas nunca pratiquei",Sim,Não,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente
41,10/8/25 10:37:08,10/8/25 10:38:55,anonymous,,,9/13/2007,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Pouco interesse,Algum interesse,Algum interesse,Biologia ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente
42,10/8/25 10:37:28,10/8/25 10:39:28,anonymous,,,11/10/2007,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Muito interesse,Muito interesse,Algum interesse,Matemática ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
43,10/8/25 10:33:25,10/8/25 10:39:30,anonymous,,,3/27/2008,Mulher,3º ano,Sim,Pública,Manhã,Algum interesse,Nenhum interesse,Nenhum interesse,Algum interesse,inglês,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Nem concordo nem discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente
44,10/8/25 10:37:32,10/8/25 10:39:31,anonymous,,,7/14/2007,Homem,3º ano,Sim,Privada,Noite,Algum interesse,Pouco interesse,Pouco interesse,Algum interesse,Inglês ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente
45,10/8/25 10:37:15,10/8/25 10:39:45,anonymous,,,5/2/2008,Não binário,3º ano,Sim,Pública,Noite,Muito interesse,Algum interesse,Algum interesse,Muito interesse,Biologia,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente
46,10/8/25 10:37:55,10/8/25 10:39:54,anonymous,,,11/10/2007,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Muito interesse,Muito interesse,Algum interesse,Matemática ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
47,10/8/25 10:40:09,10/8/25 10:41:12,anonymous,,,1/11/2008,Homem,3º ano,Sim,Pública,Noite,Muito interesse,Algum interesse,Algum interesse,Algum interesse,história ,"Já vi, mas nunca pratiquei",Sim,Sim,Não,Sim,Sim,Sim,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente
48,10/8/25 10:40:17,10/8/25 10:41:30,anonymous,,,9/9/2007,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Algum interesse,Algum interesse,Pouco interesse,Matemática ,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente
49,10/8/25 10:40:41,10/8/25 10:41:46,anonymous,,,7/19/2025,Homem,3º ano,Sim,Privada,Noite,Algum interesse,Algum interesse,Algum interesse,Algum interesse,historia ,Ainda não,Sim,Não,Não,Sim,Sim,Sim,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente
50,10/8/25 10:40:13,10/8/25 10:42:24,anonymous,,,5/29/2007,Homem,3º ano,Sim,Privada,Noite,Algum interesse,Algum interesse,Algum interesse,Muito interesse,Português ,Ainda não,Sim,Não,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente
51,10/8/25 10:40:49,10/8/25 10:44:23,anonymous,,,2/4/2008,Mulher,3º ano,Sim,Pública,Manhã,Algum interesse,Pouco interesse,Nenhum interesse,Pouco interesse,Educação física ,Ainda não,Sim,Não,Não,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
